Title,Genres,Company,Platform,Rel
Contact,"Adventure,Role-Playing (RPG)",,Nintendo DS,2006
Touch Detective,Adventure,,Nintendo DS,2006
FIFA Street 2,Sports,EA,Sony PSP,2006
007: From Russia with Love,"Action,Racing / Driving",EA,Sony PSP,2006
PaRappa the Rapper,Action,Sony,Sony PSP,2006
Riviera: The Promised Land,Role-Playing (RPG),,Sony PSP,2006
Samurai Warriors: State of War,Action,,Sony PSP,2006
Viewtiful Joe: Red Hot Rumble,Action,Capcom,Sony PSP,2006
Ice Age 2: The Meltdown,Action,,Nintendo Wii,2006
Rumble Roses XX,"Action,Sports",Konami,X360,2006
Bionicle Heroes,Action,Eidos,Nintendo DS,2006
Deep Labyrinth,Role-Playing (RPG),,Nintendo DS,2006
Blade Dancer: Lineage of Light,Role-Playing (RPG),,Sony PSP,2006
Every Extend Extra,Action,,Sony PSP,2006
Ultimate Ghosts 'N' Goblins,Action,Capcom,Sony PSP,2006
Xiaolin Showdown,Action,Konami,Sony PSP,2006
Bionicle Heroes,Action,Eidos,X360,2006
Bullet Witch,Action,Atari,X360,2006
Death Jr. II: Root of Evil,Action,Konami,Sony PSP,2006
Alex Rider: Stormbreaker,"Action,Adventure",THQ,Nintendo DS,2006
Cartoon Network Racing,Racing / Driving,,Nintendo DS,2006
Guilty Gear: Dust Strikers,Action,,Nintendo DS,2006
Gunpey DS,Strategy,Namco,Nintendo DS,2006
Lara Croft Tomb Raider: Legend,"Action,Racing / Driving",Eidos,Nintendo DS,2006
Worms: Open Warfare,"Action,Strategy",THQ,Nintendo DS,2006
Mercury Meltdown,Strategy,,Sony PSP,2006
MTX Mototrax,"Racing / Driving,Sports",Activision,Sony PSP,2006
Snoopy vs. the Red Baron,Action,Namco,Sony PSP,2006
Super Monkey Ball Adventure,"Action,Racing / Driving",Sega,Sony PSP,2006
Ys VI: The Ark of Napishtim,"Action,Role-Playing (RPG)",Konami,Sony PSP,2006
Bomberman Land Touch!,Action,,Nintendo DS,2006
Point Blank DS,Action,"Atari,Namco",Nintendo DS,2006
Scurge: Hive,Action,,Nintendo DS,2006
Star Trek: Tactical Assault,"Action,Strategy",Ubisoft,Nintendo DS,2006
Tao's Adventure: Curse of the Demon Seal,Role-Playing (RPG),Konami,Nintendo DS,2006
Ford Bold Moves Street Racing,Racing / Driving,Eidos,Sony PSP,2006
Gitaroo Man Lives!,Simulation,,Sony PSP,2006
Gradius Collection,Action,Konami,Sony PSP,2006
The Legend of Heroes II: Prophecy of the Moonli...,Role-Playing (RPG),Namco,Sony PSP,2006
Pac-Man World Rally,"Action,Racing / Driving",Namco,Sony PSP,2006
Bomberman: Act Zero,Action,Konami,X360,2006
Earth Defense Force 2017,Action,,X360,2006
WarTech: Senko no Ronde,Action,Ubisoft,X360,2006
MechAssault: Phantom War,Action,,Nintendo DS,2006
Astonishia Story,"Role-Playing (RPG),Strategy",Ubisoft,Sony PSP,2006
B-Boy,Action,Sony,Sony PSP,2006
BattleZone,Action,Atari,Sony PSP,2006
Bounty Hounds,"Action,Strategy",Namco,Sony PSP,2006
Bubble Bobble Evolution,Action,,Sony PSP,2006
MotoGP,"Racing / Driving,Sports",Sony,Sony PSP,2006
OutRun 2006: Coast 2 Coast,Racing / Driving,Sega,Sony PSP,2006
Warhammer: Battle for Atluma,Strategy,Namco,Sony PSP,2006
SBK: Snowboard Kids,"Action,Sports",,Nintendo DS,2006
Tenchu: Dark Secret,Action,Nintendo,Nintendo DS,2006
Dungeon Maker: Hunting Ground,"Action,Role-Playing (RPG)",,Sony PSP,2006
Metal Gear Solid: Digital Graphic Novel,Adventure,Konami,Sony PSP,2006
Star Trek: Tactical Assault,"Action,Strategy",Ubisoft,Sony PSP,2006
Micro Machines V4,"Action,Racing / Driving",,Sony PSP,2006
Platypus,Action,,Sony PSP,2006
Custom Robo Arena,"Action,Role-Playing (RPG)",Nintendo,Nintendo DS,2006
Gurumin: A Monstrous Adventure,Action,,Sony PSP,2006
Spider-Man 3,Action,Ubisoft,Sony PSP,2006
Wii Fit,"Educational,Sports",Nintendo,Nintendo Wii,2007
Halo 3,Action,Microsoft,X360,2007
